web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671144909-6802,schaumwein,https://www.coop.ch/de/lebensmittel/getraenke/frucht-gemuesesaefte/fruchtsaefte/traubensaefte-sauser/naturaplan-bio-rimuss-apero-champion-alkoholfrei/p/6024093,Naturaplan Bio Rimuss Apéro Champion alkoholfrei,null,null,null,null,null,null,null,75cl,5.95
1671144913-6804,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/naturaplan-bio-prosecco-raphael-dal-bo-extra-dry-doc/p/4146982,Naturaplan Bio Prosecco Raphael Dal Bo Extra Dry DOC,2022-2025,Italien,Venetien,null,Glera,Mehr über diesen Wein erfahren,11.00%,37.5cl,6.95
1671144916-6807,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/naturaplan-bio-prosecco-frizzante-raphael-dal-bo-doc/p/4476860,Naturaplan Bio Prosecco Frizzante Raphael Dal Bo DOC,2022-2025,Italien,Venetien,null,Glera,null,11.00%,75cl,8.75
1671144919-6809,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/naturaplan-bio-prosecco-doc-rose-extra-dry-la-jara/p/6710823,Naturaplan Bio Prosecco DOC Rosé extra dry La Jara,2021-2022,Italien,Venetien,Pinot Noir,"Risotto, Fisch, weissem Fleisch",null,11.50%,75cl,8.75
1671144922-6811,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/naturaplan-bio-prosecco-doc-raphael-dal-bo-extra-dry/p/4027586,Naturaplan Bio Prosecco DOC Raphael Dal Bo Extra Dry,2022-2025,Italien,Venetien,null,Glera,null,11.00%,75cl,11.95
1671144926-6813,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/naturaplan-bio-prosecco-doc-la-jara/p/5985486,Naturaplan Bio Prosecco DOC La Jara,2022-2025,Italien,Venetien,Glera,"Apéro, leichten Fisch- und Fleischgerichte, eingelegtes Gemüse",null,11.50%,75cl,8.75
1671144929-6816,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/naturaplan-bio-mousseux-baccarat-brut/p/6479981,Naturaplan bio Mousseux Baccarat brut,2023-2025,Schweiz,Genf,null,"Muscat, 
                                Chardonnay",null,12.50%,75cl,12.7
1671144931-6818,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/naturaplan-bio-moscato-raphael-dal-bo-vino-spumante-dolce/p/6024146,Naturaplan Bio Moscato Raphael Dal Bo Vino Spumante Dolce,2022-2025,Italien,Venetien,null,Muscat,null,6.50%,75cl,12.5
1671144934-6820,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/schweiz/naturaplan-bio-la-cote-aoc-b-de-la-cote-mousseux-brut/p/6673338,Naturaplan Bio La Côte AOC B de la Côte mousseux brut,2020-2023,Schweiz,Waadt,null,"Chasselas, 
                                Pinot Noir, Garanoir",null,12.50%,75cl,9.95
1671144937-6822,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/naturaplan-bio-jaillance-clairette-de-die-doux-ac/p/3358076,Naturaplan Bio Jaillance Clairette de Die doux AC,2022-2025,Frankreich,Côtes du Rhône,null,"Festlichem Apéro, süssen Vorspeisen",null,7.00%,75cl,9.45
1671144940-6824,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/frankreich/naturaplan-bio-jaillance-clairette-de-die-doux-ac/p/3453209,Naturaplan Bio Jaillance Clairette de Die doux AC,2022-2025,Frankreich,Côtes du Rhône,null,"Festlichem Apéro, süssen Vorspeisen",null,7.00%,37.5cl,8.95
1671144943-6826,schaumwein,https://www.coop.ch/de/weine/wein-sortiment/schaumweine/italien/naturaplan-bio-frizzante-valdobbiadene-prosecco-docg/p/5741117,Naturaplan Bio Frizzante Valdobbiadene Prosecco DOCG,2022-2025,Italien,Venetien,Glera,"Apéro, leichte Fischgerichte, Sommersalate",null,11.50%,75cl,7.95
