web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671142090-5822,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/friuli-doc-rose-pinot-grigio-ramato-attems/p/1017113001,Friuli DOC Rosé Pinot Grigio Ramato Attems,2021,2022-2025,Italien,Südtirol/Trentin/Friaul,Pinot Gris,null,12.50%,75cl,12.95
1671142093-5823,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/fior-di-settembre-pinot-gris-rosato-pavia-igt/p/1014862004,Fior di Settembre Pinot Gris Rosato Pavia IGT,2021,2023-2024,Italien,Lombardei/Veltlin,-,Pinot Gris,12.00%,75cl,4.95
1671142096-5824,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/el-flamenco-espaa-rosado/p/1011051010,El Flamenco España Rosado,2021,2023-2024,Spanien,Tempranillo,"Sommerlicher Küche, Auberginen oder gefüllte Pfefferschoten, würzigen oder exotischen Gerichten",null,12.50%,75cl,3.95
1671142099-5825,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/drama-pgi-domaine-costa-lazaridi-merlot-rose/p/1017614001,Drama PGI Domaine Costa Lazaridi Merlot Rosé,2021,2022-2025,Griechenland,null,"Agiorgitiko, 
                                Grenache, 
                                Merlot",null,13.00%,75cl,19.5
1671142101-5826,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/douro-doc-touriga-nacional-rose-vallado/p/1016404001,Douro DOC Touriga Nacional Rosé Vallado,2020,2022-2023,Portugal,Douro,Touriga Nacional,null,13.00%,75cl,10.95
1671142103-5827,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/douro-doc-touriga-nacional-rose/p/1016404002,Douro DOC Touriga Nacional Rosé,2021,2022-2025,Portugal,Douro,Touriga Nacional,null,13.00%,75cl,10.95
1671142106-5828,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/dell-arca-antonini-primitivo-rosato-puglia-igt/p/1000730018,Dell'Arca Antonini Primitivo Rosato Puglia IGT,2021,2020-2021,Italien,Apulien,Primitivo,null,12.50%,75cl,6.5
1671142109-5829,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cotes-de-provence-chateau-chevron-villette/p/1017025001,Côtes de Provence Château Chevron Villette,2021,2022-2023,Frankreich,Provence,"Grenache, Cinsault",null,12.50%,75cl,14.95
1671142111-5830,rose,https://www.coop.ch/de/weine/mondovino-highlights/mailing-weine/cotes-de-provence-aop-whispering-angel-chateau-d-esclans/p/1016434002,Côtes de Provence AOP Whispering Angel Château d'Esclans,2021,2022-2025,Frankreich,Provence,"Grenache, Cinsault, 
                                Vermentino",null,13.00%,75cl,24.95
1671142114-5832,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cotes-de-provence-aop-tradition-rose-chateau-reillanne/p/1017024001,Côtes de Provence AOP Tradition Rosé Château Reillanne,2021,2022-2025,Frankreich,Provence,Château Reillanne,Grenache,12.50%,75cl,11.95
1671142117-5835,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cotes-de-provence-aop-rose-m-minuty/p/1013745006,Côtes de Provence AOP Rosé M Minuty,2021,2022-2024,Frankreich,Provence,"Grenache, Cinsault, 
                                Syrah",null,13.00%,75cl,13.45
1671142120-5837,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cotes-de-provence-aop-rose-grande-recolte/p/1014305005,Côtes de Provence AOP Rosé Grande Récolte,2021,2023-2024,Frankreich,Provence,Château de Berne,Grenache,13.00%,75cl,14.95
1671142123-5839,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cotes-de-provence-aop-rose-de-provence-by-ott-domaines-ott/p/1014781003,Côtes de Provence AOP Rosé de Provence by Ott Domaines Ott,2021,2022-2025,Frankreich,Provence,Domaine Ott,Grenache,13.00%,75cl,21.5
1671142126-5841,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cotes-de-provence-aop-rose-cru-classe-chateau-sainte-marguerite/p/1016995001,Côtes de Provence AOP Rosé Cru Classé Château Sainte-Marguerite,2021,2022-2024,Frankreich,Provence,"Grenache, Cinsault, 
                                Syrah",null,13.00%,75cl,19.95
1671142129-5843,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cotes-de-provence-aop-rose-chateau-saint-honore/p/1017519001,Côtes de Provence AOP Rosé Château Saint-Honoré,2021,2022-2025,Frankreich,Provence,"Grenache, Cinsault",null,12.50%,75cl,14.95
1671142132-5845,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cotes-de-provence-aop-minuty-prestige-chateau-minuty/p/1017048001,Côtes de Provence AOP Minuty Prestige Château Minuty,2021,2022-2025,Frankreich,Provence,"Grenache, Cinsault, 
                                Syrah",null,12.00%,75cl,19.95
1671142135-5847,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cotes-de-provence-aop-mademoiselle-valentine-chateau-les-valentines/p/1017078001,Côtes de Provence AOP Mademoiselle Valentine Château Les Valentines,2021,2022-2025,Frankreich,Provence,Château Les Valentines,Grenache,13.00%,75cl,14.95
1671142138-5849,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cotes-de-provence-aop-cuvee-des-chevaliers-cru-classe-chateau-sainte-roseline/p/1016795001,Côtes de Provence AOP Cuvée des Chevaliers Cru Classé Château Sainte Roseline,null,2022-2023,Frankreich,Provence,Cabernet Sauvignon,null,13.00%,75cl,18.95
1671142141-5851,rose,https://www.coop.ch/de/weine/wein-sortiment/letzte-flaschen/cotes-de-provence-aoc-estandon-rose/p/1018529001,Côtes de Provence AOC Estandon Rosé,2021,2022-2024,Frankreich,Provence,Estandon Vignerons,Grenache,13.00%,75cl,6.95
1671142144-5853,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/coteaux-d-aix-en-provence-aop-rose-commanderie-de-la-bargemone/p/1017145005,Côteaux d'Aix-en-Provence AOP Rosé Commanderie de La Bargemone,2021,2022-2025,Frankreich,Provence,Commanderie Bargemone,Grenache,12.00%,75cl,11.95
1671142147-5855,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/collioure-aop-les-clos-de-pauliles-rose/p/1014962004,Collioure AOP les Clos de Pauliles Rosé,2020,2022-2023,Frankreich,Languedoc-Roussillon,"Carignan Blanc, 
                                Mourvèdre, 
                                Syrah, 
                                Grenache Blanc",null,13.00%,75cl,14.95
1671142150-5857,rose,https://www.coop.ch/de/alle-weine-in-literqualitaet/cinsault-syrah-rose-pays-d-oc-igp/p/4198331,Cinsault Syrah Rosé Pays d'OC IGP,2022-2025,Frankreich,Languedoc-Roussillon,null,Leichteren Vorspeisen wie Blätterteiggebäck oder weissem Fisch,null,12.50%,100cl,3.95
1671142153-5859,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/cabernet-d-anjou-aop-l-ardoirie-rose/p/1000737018,Cabernet d'Anjou AOP L'Ardoirie Rosé,2021,2023-2024,Frankreich,Loire,-,Cabernet Franc,11.00%,75cl,7.5
1671142156-5861,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/burgenland-rose-heideboden-hannes-reeh/p/1017494001,Burgenland Rosé Heideboden Hannes Reeh,2021,Österreich,Burgenland,null,"Cabernet Sauvignon, 
                                Blaufränkisch",null,12.50%,75cl,14.95
1671142159-5863,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/burgenland-blaufraenkisch-rose-weingut-strehn-edition-peter-keller/p/1014928001,Burgenland Blaufränkisch Rosé Weingut Strehn Edition Peter Keller,2018,2020-2021,Österreich,Burgenland,Blaufränkisch,null,12.50%,75cl,9.95
1671142162-5865,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/burgenland-blaufraenkisch-rose-weingut-strehn/p/1014928003,Burgenland Blaufränkisch Rosé Weingut Strehn,2020,2022-2025,Österreich,Burgenland,Blaufränkisch,null,13.00%,75cl,9.95
1671142165-5867,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/bree-alcohol-free-rose/p/7023832,Bree Alcohol Free Rosé,null,null,Deutschland,Pfalz,null,null,0.50%,75cl,4.95
1671142168-5869,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/bordeaux-domain-rothschild-lafite-rose/p/1014723003,Bordeaux Domain Rothschild-Lafite Rosé,2020,2022-2023,Frankreich,null,Domaines Barons de Rothschild,Cabernet Sauvignon,12.50%,75cl,8.95
1671142171-5872,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/bordeaux-aoc-rose-pop-mouton-cadet/p/1017014001,Bordeaux AOC Rosé Pop Mouton Cadet,2021,2022-2025,Frankreich,null,Mouton Cadet,Cabernet Franc,12.00%,75cl,14.5
1671142174-5874,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/bordeaux-aoc-rose-mouton-cadet/p/1001866018,Bordeaux AOC Rosé Mouton Cadet,2021,2023-2024,Frankreich,null,Mouton Cadet,Cabernet Franc,12.50%,75cl,11.95
1671142177-5876,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/bordeaux-aoc-rose-mouton-cadet/p/1016233001,Bordeaux AOC Rosé Mouton Cadet,2019,2022-2025,Frankreich,null,diverse Sorten,null,13.00%,18.5cl,4.95
1671142180-5878,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/bordeaux-aoc-la-rose-saint-germain/p/1014783005,Bordeaux AOC La Rose Saint-Germain,2020,2022-2025,Frankreich,null,"Cabernet Sauvignon, 
                                Merlot",null,13.00%,75cl,8.5
1671142183-5880,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/bordeaux-aoc-la-rose-saint-germain/p/1014783006,Bordeaux AOC La Rose Saint-Germain,2021,2023-2026,Frankreich,null,"Cabernet Sauvignon, 
                                Merlot",null,13.00%,75cl,8.5
1671142186-5882,rose,https://www.coop.ch/de/weine/wein-sortiment/roseweine/bordeaux-aoc-cabernet-franc-la-grande-cuvee-dourthe/p/1017153001,Bordeaux AOC Cabernet Franc La Grande Cuvée Dourthe,2021,2022-2025,Frankreich,null,Dourthe,Cabernet Franc,12.50%,75cl,11.95
