web-scraper-order,typ,href,wein_name_raw,jahrgang_raw,genussreife_raw,land_raw,region_raw,produzent_raw,rebsorte_raw,alkohol_raw,inhalt_raw,preis_chf_raw
1671143481-6238,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rosso-sicilia-doc-nero-d-avola-terre-del-sommacco-mandrarossa/p/1018672001,Rosso Sicilia DOC Nero d'Avola Terre del Sommacco Mandrarossa,2018,2022-2023,Italien,Sizilien,Mandrarossa,Nero d'Avola,14.00%,75cl,34.5
1671143483-6239,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rosso-di-valtellina-doc-satiro-casa-vinicola-pietro-nera/p/1018619001,Rosso di Valtellina DOC Satiro Casa Vinicola Pietro Nera,2017,2022-2025,Italien,Lombardei/Veltlin,Casa Vinicola Pietro Nera,Nebbiolo,12.00%,75cl,14.95
1671143486-6240,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rosso-di-motalcino-doc-banfi/p/1018186001,Rosso di Motalcino DOC Banfi,2020,2020-2025,Italien,Toskana,Castello Banfi,Sangiovese,14.00%,75cl,19
1671143488-6241,rot,https://www.coop.ch/de/weine/mondovino-highlights/neuheiten/rosso-di-montalcino-doc-pian-delle-vigne/p/1016997001,Rosso di Montalcino DOC Pian delle Vigne,2020,2022-2030,Italien,Toskana,Marchesi Antinori,Sangiovese,14.00%,75cl,21.5
1671143490-6242,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rosso-di-montalcino-doc-il-poggione/p/1018522001,Rosso di Montalcino DOC il Poggione,2020,null,Italien,Toskana,null,Sangiovese,13.50%,75cl,21.5
1671143493-6243,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rosso-di-montalcino-doc-campo-ai-sassi/p/1000761018,Rosso di Montalcino DOC Campo ai Sassi,2020,2022-2025,Italien,Toskana,Marchesi de' Frescobaldi,Sangiovese,13.50%,75cl,19.95
1671143495-6244,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rosso-di-montalcino-doc-altesino/p/1016945006,Rosso di Montalcino DOC Altesino,2016,2022-2025,Italien,Toskana,Altesino,Sangiovese,12.90%,75cl,22
1671143497-6245,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rosso-di-montalcino-doc-altesino/p/1016945001,Rosso di Montalcino DOC Altesino,2017,2022-2023,Italien,Toskana,Altesino,Sangiovese,12.90%,75cl,22
1671143499-6246,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rosso-di-montalcino-doc/p/1018543001,Rosso di Montalcino DOC,2020,2022-2027,Italien,Toskana,Val di Suga,Sangiovese,13.50%,75cl,21.95
1671143501-6247,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rosso-del-veronese-igt-campofiorin-masi/p/1012915010,Rosso del Veronese IGT Campofiorin Masi,2019,2023-2024,Italien,Venetien,Masi,Molinara,13.00%,75cl,12.95
1671143504-6248,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rocca-guicciarda-chianti-classico-riserva-docg-ricasoli/p/1000262017,Rocca Guicciarda Chianti classico Riserva DOCG Ricasoli,2019,2020-2022,Italien,Toskana,Barone Ricasoli,Sangiovese,13.50%,150cl,37.5
1671143506-6249,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rocca-guicciarda-chianti-classico-riserva-docg-ricasoli/p/1000262016,Rocca Guicciarda Chianti classico Riserva DOCG Ricasoli,2018,2023-2028,Italien,Toskana,Barone Ricasoli,Sangiovese,13.50%,150cl,37.5
1671143509-6250,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/ripasso-della-valpolicella-superiore-doc-rovertondo-tenuta-valleselle/p/1011267009,Ripasso della Valpolicella Superiore DOC Rovertondo Tenuta Valleselle,2019,2023-2024,Italien,Venetien,Tenuta Valleselle,Molinara,14.00%,75cl,17.5
1671143512-6251,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/ripasso-della-valpolicella-superiore-doc-conte-di-valle-palazzo-maffei/p/1009312011,Ripasso della Valpolicella Superiore DOC Conte di Valle Palazzo Maffei,2017,2023-2027,Italien,Venetien,Palazzo Maffei,Molinara,14.50%,75cl,18.5
1671143514-6252,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/ripasso-della-valpolicella-superiore-doc-bosan-cesari/p/1004377014,Ripasso della Valpolicella Superiore DOC Bosan Cesari,2018,2022-2028,Italien,Venetien,Gerardo Cesari,Molinara,14.00%,75cl,19.5
1671143517-6253,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/ripasso-della-valpolicella-doc-superiore-vigne-alte-zeni/p/1000723018,Ripasso della Valpolicella DOC Superiore Vigne Alte Zeni,2020,2020-2021,Italien,Venetien,Cantina Zeni,Molinara,14.00%,75cl,9.05
1671143520-6254,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/ripasso-della-valpolicella-doc-superiore-brigaldara/p/1001874016,Ripasso della Valpolicella DOC superiore Brigaldara,2018,2022-2025,Italien,Venetien,Azienda Agricola Brigaldara,Molinara,14.50%,75cl,16.5
1671143523-6255,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/ripasso-della-valpolicella-doc-superiore-azienda-agricola-zanoni/p/1017990001,Ripasso della Valpolicella DOC Superiore Azienda Agricola Zanoni,2018,2022-2026,Italien,Venetien,Azienda Agricola Zanoni,Corvina,14.50%,75cl,20.9
1671143525-6256,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/ripasso-della-valpolicella-doc-rocca-alata/p/1014387004,Ripasso della Valpolicella DOC Rocca Alata,2018,2022-2023,Italien,Venetien,Cantina di Soave,null,13.50%,37.5cl,5.5
1671143528-6257,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/ripasso-della-valpolicella-doc-rocca-alata/p/1002156015,Ripasso della Valpolicella DOC Rocca Alata,2018,2022-2025,Italien,Venetien,Cantina di Soave,Molinara,13.50%,75cl,9.95
1671143531-6258,rot,https://www.coop.ch/de/weine/wein-sortiment/raritaeten/rioja-tempranillo-pagos-viejos-artadi/p/1016732001,Rioja Tempranillo Pagos Viejos Artadi,2008,2021-2025,Spanien,Rioja,Bodegas y Viñedos Artadi,Tempranillo,14.00%,75cl,79.95
1671143533-6259,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-tempranillo-bodegas-y-viedos-artadi/p/1016787003,Rioja Tempranillo Bodegas y Viñedos Artadi,2018,2021-2024,Spanien,Rioja,Bodegas y Viñedos Artadi,Tempranillo,14.00%,75cl,29
1671143535-6260,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-tempranillo-bodegas-y-viedos-artadi/p/1012606003,Rioja Tempranillo Bodegas y Viñedos Artadi,2016,2022-2025,Spanien,Rioja,Bodegas y Viñedos Artadi,Tempranillo,14.00%,75cl,16.95
1671143538-6261,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-tempranillo-artadi-vias-de-gain/p/1016787001,Rioja Tempranillo Artadi Viñas de Gain,2016,2022-2024,Spanien,Rioja,Bodegas y Viñedos Artadi,Tempranillo,0.00%,75cl,29
1671143540-6262,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-reserva-doca-via-real/p/1016998001,Rioja Reserva DOCa Viña Real,2016,2022-2026,Spanien,Rioja,null,"Garnacha Tinta,                Graciano,            Tempranillo",13.50%,75cl,18.95
1671143543-6263,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-reserva-doca-campo-viejo/p/1000703016,Rioja Reserva DOCa Campo Viejo,2016,2022-2025,Spanien,Rioja,Bodegas Campo Viejo,Graciano,13.50%,75cl,15.5
1671143545-6264,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-ondarre-gran-reserva-ondarre/p/1015146001,Rioja Ondarre Gran Reserva Ondarre,2010,2022-2024,Spanien,Rioja,Ondarre,Tempranillo,14.00%,75cl,19.95
1671143547-6265,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-imperial-cune-reserva-doca/p/1000707014,Rioja Imperial Cune Reserva DOCa,2016,2022-2026,Spanien,Rioja,Bodegas Cvne,Grenache,13.50%,75cl,22.5
1671143550-6266,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-gran-reserva-edition-peter-keller-bodegas-santalba/p/1017084001,Rioja Gran Reserva Edition Peter Keller Bodegas Santalba,2015,2022-2032,Spanien,Rioja,null,Tempranillo,13.50%,75cl,22.5
1671143553-6267,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-faustino-i-gran-reserva-doca/p/1000709013,Rioja Faustino I Gran Reserva DOCa,2011,2020-2021,Spanien,Rioja,Faustino,Grenache,13.50%,75cl,22.95
1671143555-6268,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-faustino-crianza-doca/p/1016248002,Rioja Faustino Crianza DoCa,2019,null,Spanien,Rioja,null,Tempranillo,13.50%,75cl,11.5
1671143559-6269,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-doca-xerico-tentenublo/p/1015737001,Rioja DOCa Xérico Tentenublo,2016,2022-2025,Spanien,Rioja,null,Tempranillo,14.00%,75cl,19.95
1671143561-6270,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-doca-vias-de-gain-bodegas-y-viedos-artadi/p/1013688002,Rioja DOCa Viñas de Gain Bodegas y Viñedos Artadi,2016,2022-2025,Spanien,Rioja,Bodegas y Viñedos Artadi,Tempranillo,14.50%,150cl,59
1671143564-6271,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-doca-vina-real-gran-reserva/p/1016824001,Rioja DOCa Vina Real Gran Reserva,2015,2022-2027,Spanien,Rioja,null,"Graciano, 
                                Tempranillo",13.50%,75cl,23.95
1671143567-6272,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-doca-vina-real-crianza/p/1016776002,Rioja DOCa Vina Real Crianza,2019,Spanien,Rioja,Graciano,James Suckling: 93,null,13.50%,75cl,9.05
1671143569-6273,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-doca-via-el-pisn-bodegas-y-viedos-artadi/p/5891674001,Rioja DOCa Viña el Pisón Bodegas y Viñedos Artadi,2015,2022-2035,Spanien,Rioja,Bodegas y Viñedos Artadi,Tempranillo,14.50%,75cl,255
1671143572-6274,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-doca-valdebarn-bodegas-ondarre/p/1016226001,Rioja DOCa Valdebarón Bodegas Ondarre,2017,2022-2026,Spanien,Rioja,Ondarre,Tempranillo,14.00%,75cl,14.95
1671143574-6275,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/rioja-doca-valdebarn-bodegas-ondarre/p/1016226003,Rioja DOCa Valdebarón Bodegas Ondarre,2019,null,Spanien,Rioja,null,"Mazuela, 
                                Tempranillo",14.00%,75cl,14.95
1671143628-6276,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/sicilia-doc-nero-d-avola-costadune-mandrarossa/p/1018623001,Sicilia DOC Nero d'Avola Costadune Mandrarossa,2021,2022-2023,Italien,Sizilien,Mandrarossa,Nero d'Avola,13.50%,75cl,11.5
1671143634-6277,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/sicilia-doc-nero-d-avola-cardilla/p/1017775001,Sicilia DOC Nero d'Avola Cardilla,2021,2022-2025,Italien,Sizilien,Cantine Pellegrino,Nero d'Avola,13.00%,75cl,7.95
1671143638-6278,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/sicilia-doc-etna-rosso-alta-mora-cusumano/p/1013216005,Sicilia DOC Etna Rosso Alta Mora Cusumano,2018,2022-2025,Italien,Sizilien,null,Cusumano,13.50%,75cl,17.95
1671143643-6279,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/sicilia-doc-cabernet-sauvignon-butera/p/1016935001,Sicilia DOC Cabernet Sauvignon Butera,2016,2022-2023,Italien,Sizilien,Principi di Butera,Cabernet Sauvignon,14.00%,75cl,17.5
1671143647-6280,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/sicilia-doc-bonera-mandrarossa/p/1018620001,Sicilia DOC Bonera Mandrarossa,2020,2022-2023,Italien,Sizilien,Mandrarossa,Cabernet Franc,13.50%,75cl,12.95
1671143652-6281,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/sicilia-doc-bio-pietre-a-purtedda-da-ginestra-centopassi-libera-terra/p/1018660001,Sicilia DOC Bio Pietre a Purtedda da Ginestra Centopassi - Libera Terra,2019,2022-2029,Italien,Sizilien,Centopassi - Libera Terra,null,13.50%,75cl,24.5
1671143656-6282,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/sicilia-contea-de-sclafani-doc-rosso-del-conte-tenuta-regaleali/p/1017691001,Sicilia Contea de Sclafani DOC Rosso del Conte Tenuta Regaleali,2016,2023-2031,Italien,Sizilien,Nero d'Avola,null,14.00%,75cl,49
1671143661-6283,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-wynns-coonawarra/p/1016062002,Shiraz Wynns Coonawarra,2019,2022-2029,Australien,null,null,null,14.50%,75cl,13.5
1671143665-6284,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-the-barossan-barossa-valley-peter-lehmann/p/1014341003,Shiraz The Barossan Barossa Valley Peter Lehmann,2018,2022-2025,Australien,null,Peter Lehmann Wines,Syrah,14.50%,75cl,17.5
1671143670-6285,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-south-australia-bin-150-marananga-penfolds/p/1017391001,Shiraz South Australia Bin 150 Marananga Penfolds,2018,2020-2028,Australien,null,Penfolds,Syrah,14.00%,75cl,69
1671143675-6286,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-penfolds-magill-estate/p/1016968001,Shiraz Penfolds Magill Estate,2011,2022-2028,Australien,null,Penfolds,Syrah,13.50%,75cl,185
1671143677-6287,rot,https://www.coop.ch/de/weine/mondovino-highlights/mailing-weine/shiraz-lily-s-garden-mclaren-vale-two-hands/p/1004376009,Shiraz Lily's Garden McLaren Vale Two Hands,2016,2022-2025,Australien,null,Two Hands,Syrah,15.50%,75cl,54.95
1671143682-6288,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-cabernet-classic-jacob-s-creek/p/1000812017,Shiraz Cabernet Classic Jacob's Creek,2020,2023-2024,Australien,null,Jacob's Creek,Cabernet Sauvignon,13.90%,37.5cl,6.5
1671143687-6289,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-cabernet-classic-jacob-s-creek/p/1000812016,Shiraz Cabernet Classic Jacob's Creek,2019,2022-2023,Australien,null,Jacob's Creek,Cabernet Sauvignon,13.90%,37.5cl,6.5
1671143690-6290,rot,https://www.coop.ch/de/weine/wein-sortiment/raritaeten/shiraz-cabernet-australia-st-henri-penfolds/p/1017426001,Shiraz Cabernet Australia St. Henri Penfolds,2016,2018-2027,Australien,null,Penfolds,Cabernet Sauvignon,14.50%,75cl,119
1671143694-6291,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-bella-s-garden-barossa-valley-two-hands/p/1015184001,Shiraz Bella's Garden Barossa Valley Two Hands,2016,2022-2025,Australien,null,Two Hands,Syrah,14.50%,75cl,54.95
1671143698-6292,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-barossa-valley-vsv-hearnden-peter-lehmann/p/1015113001,Shiraz Barossa Valley VSV Hearnden Peter Lehmann,2016,2022-2023,Australien,null,Peter Lehmann Wines,Syrah,13.00%,75cl,18.45
1671143703-6293,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-barossa-valley-bin-28-kalimna-penfolds/p/1000804018,Shiraz Barossa Valley Bin 28 Kalimna Penfolds,2020,2024-2026,Australien,null,Penfolds,Syrah,14.50%,75cl,23.1
1671143708-6294,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-barossa-eden-valley-powell-son/p/1015183001,Shiraz Barossa & Eden Valley Powell & Son,2016,2022-2024,Australien,null,null,Syrah,13.00%,75cl,49.5
1671143712-6295,rot,https://www.coop.ch/de/weine/wein-sortiment/rotweine/shiraz-angels-share-mclaren-vale-two-hands/p/1003257013,Shiraz Angels' Share McLaren Vale Two Hands,2019,2022-2025,Australien,null,Two Hands,Carmenère,15.00%,75cl,27.5
