typ,wein_name,land,region,produzent,rebsorte,alkohol,inhalt_cl,anzahl_fl,jahrgang,prime_start,prime_end,preis_chf,preis_cl
rot,Bike Scorpion mit Cabernet Sauvignon,USA,,,Cabernet Sauvignon,13.0,75.0,1,2019,,,42.95,0.57
rot,Bierzo DO Villa de Corullón Descendientes de J. Palacios,Spanien,Kastilien-León,Mencía,,14.5,75.0,1,2011,2022,2023,46.0,0.61
rot,"Bierzo DO Mencia Descendientes de J. Palacios 2017, 75cl",Spanien,Kastilien-León,Descendientes de J. Palacios,Mencía,14.0,75.0,1,2014,2022,2029,108.0,1.44
rot,Bierzo DO Las Lamas J. Palacios,Spanien,Katalonien,Alvaro Palacios,Mencía,14.0,75.0,1,2015,2022,2025,99.0,1.32
rot,Bielersee AOC Pinot Noir Schafiser La Neuveville,Schweiz,Drei-Seen-Region,Pinot Noir,,13.3,75.0,1,2021,2022,2024,17.95,0.24
rot,Bielersee AOC Pinot Noir Schafiser Barrique La Neuveville,Schweiz,Drei-Seen-Region,Pinot Noir,,13.3,75.0,1,2020,2021,2024,24.95,0.33
rot,Bielersee AOC Pinot Noir Auberson & Fils,Schweiz,Drei-Seen-Region,Auberson & Fils,Pinot Noir,14.0,75.0,1,2020,2022,2025,18.5,0.25
rot,Bertu Barbera d'Alba DOC,Italien,Piemont,Angelo Negro,Barbera,15.0,75.0,1,2018,2022,2028,34.5,0.46
rot,Beiras Baga Vinha Barrosa Velha Luis Pato,Portugal,,,,12.5,75.0,1,2005,,,35.25,0.47
rot,Beau-Séjour Bécot Saint-Emilion AC 1er Grand Cru Classé B Magnum,Frankreich,,Château Beauséjour Bécot,Cabernet Franc,13.5,150.0,1,2021,2032,2047,123.5,0.82
